166500.00 8
 7 -25370008.91490  -6163053.21880   6233614.61660  23762592.42200
 9 -15291559.36950  -4140301.49110  21281825.22030  21093415.41400
16   2287328.40850 -21151577.01710  15486837.70870  20728978.31300
22  -9596843.72040 -24169889.30960  -5104406.46690  24199948.46900
23  -7813544.64670 -15332730.84270  20387589.38910  20328064.17200
26   9593159.84430 -13279575.41420  20883996.79320  21775105.13300
166519.00 8
 3 -13222269.68020 -22984577.13730   1898843.30690  22675248.25800
 6 -21663144.46020   7988453.83730  13168435.23590  24402931.14800
 7 -25369238.34980  -6163232.27430   6236629.30840  23762036.78100
 9 -15290156.63340  -4142625.54350  21282378.90600  21093020.44500
16   2288250.86580 -21149790.89690  15489160.97680  20728855.93800
22  -9596164.46400 -24169495.36900  -5107409.58430  24200665.78900
23  -7812076.80080 -15334817.46960  20386527.00730  20328036.15600
26   9594483.07380 -13277271.71150  20884865.77500  21775434.49200
166520.00 8
 3 -13222132.61160 -22984919.97790   1895683.42170  22675920.50800
 6 -21664797.68670   7988173.12840  13165880.96450  24403317.37500
 7 -25368467.42270  -6163411.34790   6239643.87170  23761480.46900
 9 -15288753.99130  -4144949.73400  21282932.13730  21092625.51600
16   2289173.54580 -21148004.56100  15491483.90600  20728734.72700
22  -9595484.99560 -24169101.13840  -5110412.59230  24201383.05500
23  -7810609.13670 -15336904.07020  20385464.19760  20328008.02300
26   9595806.48590 -13274967.98950  20885734.31170  21775764.03900
166521.00 8
 3 -13221995.38270 -22985262.47300   1892523.49620  22676592.24200
 6 -21666450.60950   7987892.53350  13163326.41370  24403703.67200
 7 -25367696.13380  -6163590.43980   6242658.30630  23760925.41400
 9 -15287351.44320  -4147274.06270  21283484.91440  21092231.32800
16   2290096.44840 -21146218.00960  15493806.49620  20728613.09400
22  -9594805.31530 -24168706.61780  -5113415.49080  24202100.35200
23  -7809141.65450 -15338990.64460  20384400.96000  20327980.39800
26   9597130.08050 -13272664.24820  20886602.40320  21776094.13300
166522.00 8
 3 -13221857.99350 -22985604.62260   1889363.53060  22677264.53900
 6 -21668103.22850   7987612.05270  13160771.58340  24404090.12500
 7 -25366924.48300  -6163769.54980   6245672.61220  23760369.71900
 9 -15285948.98920  -4149598.52950  21284037.23720  21091836.78900
16   2291019.57370 -21144431.24270  15496128.74760  20728491.96900
22  -9594125.42290 -24168311.80720  -5116418.27980  24202818.23400
23  -7807674.35430 -15341077.19260  20383337.29450  20327953.31300
26   9598453.85750 -13270360.48770  20887470.04940  21776424.48400
166523.00 8
 3 -13221720.44390 -22985946.42680   1886203.52480  22677936.91400
